sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"contaminante";"contaminante_desc";"contaminante_cod";"contaminante_tecnica";"contaminante_fechaInicio";"contaminante_fechaFin";"contaminante_altura";"url_contaminante";"fecha_consulta";"pollutant";"unidad";"macro";"from";"to";"fecha_fin_actual";"url_descarga";"metrica";"ano_inicio";"ano_fin";"mes_inicio";"mes_fin"
"XV";"/index.php/region/index/id/XV";"Arica";TRUE;"/index.php/estacion/index/id/232";"Arica";"Arica";"363747 E 7955831 N";"19";-70.2905492243254;-18.4835271781409;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACIÓN BETA - THERMO 5014i";2000-01-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Arica&macropath=./RXV/F01/Cal/PM25&macro=PM25.diario.diario&from=000101&to=200715&";2020-07-16;"mp2.5";"ug/m3";"./RXV/F01/Cal/PM25/PM25.diario.diario.ic";"000101";"200715";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.diario.diario.ic&from=000101&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2000;2020;"01";"07"
"XV";"/index.php/region/index/id/XV";"Arica";TRUE;"/index.php/estacion/index/id/232";"Arica";"Arica";"363747 E 7955831 N";"19";-70.2905492243254;-18.4835271781409;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACIÓN BETA - THERMO 5014i";2000-01-01;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Arica&macropath=./RXV/F01/Cal/PM25&macro=PM25.horario.horario&from=000101&to=200716&";2020-07-16;"mp2.5";"ug/m3";"./RXV/F01/Cal/PM25/PM25.horario.horario.ic";"000101";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=000101&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2000;2020;"01";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACION BETA- MET ONE 1020";2016-02-09;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Cal/PM25&macro=PM25.diario.diario&from=160209&to=200715&";2020-07-16;"mp2.5";"ug/m3";"./RI/117/Cal/PM25/PM25.diario.diario.ic";"160209";"200715";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.diario.diario.ic&from=160209&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Diario";2016;2020;"02";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Material particulado MP 2,5";"(MP 2,5 - µg/m3)";"PM25";"ATENUACION BETA- MET ONE 1020";2016-02-09;2020-07-16;NA;"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Cal/PM25&macro=PM25.horario.horario&from=130425&to=200716&";2020-07-16;"mp2.5";"ug/m3";"./RI/117/Cal/PM25/PM25.horario.horario.ic";"130425";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=130425&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2013;2020;"04";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Radiación global";"Radiación global(Rad. Global - W/m2)";"GLOB";"SENSOR - MET ONE  096-1";2016-02-16;2020-07-15;"3m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/GLOB&macro=horario_003&from=160216&to=200715&";2020-07-16;"rad_3m";"W/m2";"./RI/117/Met/GLOB/horario_003.ic";"160216";"200715";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/GLOB/horario_003.ic&from=160216&to=200715&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2016;2020;"02";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Humedad relativa del aire";"Humedad relativa del aire(Humedad relativa - %)";"RHUM";"SENSOR - MET ONE 83E ";2016-02-16;2020-07-16;"3m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/RHUM&macro=horario_003&from=160216&to=200716&";2020-07-16;"hr_3m";"%";"./RI/117/Met/RHUM/horario_003.ic";"160216";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/RHUM/horario_003.ic&from=160216&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2016;2020;"02";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Temperatura ambiente";"Temperatura ambiente(Temperatura - °C)";"TEMP";"SENSOR - MET ONE 83E ";2016-02-16;2017-07-21;"3m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/TEMP&macro=horario_003&from=160216&to=170721&";2020-07-16;"temp_3m";"°C";"./RI/117/Met/TEMP/horario_003.ic";"160216";"170721";FALSE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/TEMP/horario_003.ic&from=160216&to=170721&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2016;2017;"02";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Temperatura ambiente";"Temperatura ambiente(Temperatura - °C)";"TEMP";"SENSOR - MET ONE 83E ";2017-07-01;2020-07-16;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/TEMP&macro=horario_010&from=170701&to=200716&";2020-07-16;"temp_10m";"°C";"./RI/117/Met/TEMP/horario_010.ic";"170701";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/TEMP/horario_010.ic&from=170701&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2017;2020;"07";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Dirección del viento";"Dirección del viento(Dir. viento - °)";"WDIR";"SENSOR - MET ONE 020C";2016-02-16;2020-07-16;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/WDIR&macro=horario_010&from=160216&to=200716&";2020-07-16;"wd_10m";"°";"./RI/117/Met/WDIR/horario_010.ic";"160216";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/WDIR/horario_010.ic&from=160216&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2016;2020;"02";"07"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;"Velocidad del viento";"Velocidad del viento(Vel. viento - m/s)";"WSPD";"SENSOR - MET ONE 010C";2016-02-16;2020-07-16;"10m";"//sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.htmlindico2.cgi?page=pageFrame&header=Alto Hospicio&macropath=./RI/117/Met/WSPD&macro=horario_010&from=160216&to=200716&";2020-07-16;"ws_10m";"m/s";"./RI/117/Met/WSPD/horario_010.ic";"160216";"200716";TRUE;"/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Met/WSPD/horario_010.ic&from=160216&to=200716&path=/usr/airviro/data/CONAMA/&lang=esp";"Horario";2016;2020;"02";"07"
