sep=; 
"region";"url_region";"estacion";"estacion_enlinea";"url_estacion";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"fecha_consulta";"n_parametros"
"I";"/index.php/region/index/id/I";"Alto Hospicio";TRUE;"/index.php/estacion/index/id/157";"Iquique";"Alto Hospicio";"385118 E 7755989 N";"19";-70.1002241937709;-20.2904990614563;2020-07-16;8
"II";"/index.php/region/index/id/II";"Antofagasta";TRUE;"/index.php/estacion/index/id/259";"Antofagasta";"Antofagasta";"358874 E 7387875 N";"19";-70.3833269141901;-23.6135524278948;2020-07-16;6
"II";"/index.php/region/index/id/II";"Aukahuasi";FALSE;"/index.php/estacion/index/id/108";"El Loa";"Calama";"506481 E 7531673 N";"19";-68.9370698239037;-22.3207090367875;2020-07-16;4
"II";"/index.php/region/index/id/II";"Bomberos";TRUE;"/index.php/estacion/index/id/178";"Tocopilla";"Tocopilla";"375319 E 7554741 N";"19";-70.2087566601592;-22.1078451151424;2020-07-16;2
"II";"/index.php/region/index/id/II";"Centro";FALSE;"/index.php/estacion/index/id/128";"Tocopilla";"Tocopilla";"376516 E 7556334 N";"19";-70.1970325448389;-22.0935418270491;2020-07-16;3
"II";"/index.php/region/index/id/II";"Chiu Chiu";TRUE;"/index.php/estacion/index/id/234";"El Loa";"Calama";"535953 E 7529230 N";"19";-68.650845698563;-22.342415584074;2020-07-16;11
"II";"/index.php/region/index/id/II";"Club Deportivo 23 de Marzo";TRUE;"/index.php/estacion/index/id/207";"El Loa";"Calama";"506403 E 7516233 N";"19";-68.9377651691457;-22.4601962890963;2020-07-16;9
"II";"/index.php/region/index/id/II";"Colegio Pedro Vergara Keller";TRUE;"/index.php/estacion/index/id/222";"El Loa";"Calama";"506895 E 7518221 N";"19";-68.9329917406762;-22.4422346608824;2020-07-16;9
"II";"/index.php/region/index/id/II";"Compañía de Bomberos";FALSE;"/index.php/estacion/index/id/4";"Antofagasta";"Mejillones";"351468 E 7444654 N";"19";-70.4503183864246;-23.1001674340595;2020-07-16;11
"II";"/index.php/region/index/id/II";"Escuela E-10";TRUE;"/index.php/estacion/index/id/274";"Tocopilla";"Tocopilla";"377352 E 7557219 N";"19";-70.1888629023797;-22.0856071964417;2020-07-16;22
"II";"/index.php/region/index/id/II";"Escuela E-12";FALSE;"/index.php/estacion/index/id/39";"Tocopilla";"Tocopilla";"376731 E 7556849 N";"19";-70.1949095635131;-22.088905342285;2020-07-16;2
"II";"/index.php/region/index/id/II";"Escuela Gabriela Mistral";FALSE;"/index.php/estacion/index/id/130";"Tocopilla";"Tocopilla";"376518 E 7556323 N";"19";-70.1970139983016;-22.0936413263383;2020-07-16;1
"II";"/index.php/region/index/id/II";"Estación Centro";TRUE;"/index.php/estacion/index/id/275";"El Loa";"Calama";"507371 E 7516056 N";"19";-68.9283557446592;-22.461791412519;2020-07-16;23
